id,name
saransk,Saransk
podolsk,Podolsk
kazan,Kazan
sochi,Sochi
kirov,Kirov
krasnodar,Krasnodar
murmansk,Murmansk
perm,Perm
vladimir,Vladimir
abakan,Abakan
belgorod,Belgorod
volgograd,Volgograd
voronezh,Voronezh
smolensk,Smolensk
kaliningrad,Kaliningrad
petersburg,Saint-Petersburg
moscow,Moscow
nizhnekamsk,Nizhnekamsk
agryz,Agryz
chistopol,Chistopol
buinsk,Buinsk
tetyushi,Tetyushi
almetievsk,Almetievsk
bugulma,Bugulma
yelabuga,Yelabuga
arsk,Arsk
zainsk,Zainsk
zelenodolsk,Zelenodolsk
leninogorsk,Leninogorsk
