id1,rel,id2
egranovd,FRIEND,marochkind
marochkind,FRIEND,egranovd
egranovd,FRIEND,buzinv
buzinv,FRIEND,egranovd
egranovd,FRIEND,umnovk
umnovk,FRIEND,egranovd
egranovd,FRIEND,koroleva
koroleva,FRIEND,egranovd
egranovd,FRIEND,yudakovv
yudakovv,FRIEND,egranovd
egranovd,FRIEND,pyanzinv
pyanzinv,FRIEND,egranovd
egranovd,FRIEND,sadykovr 
sadykovr,FRIEND,egranovd
egranovd,FRIEND,pivkina 
pivkina,FRIEND,egranovd
egranovd,FRIEND,terentyevv 
terentyevv,FRIEND,egranovd
egranovd,FRIEND,belyakova 
belyakova,FRIEND,egranovd
egranovd,FRIEND,andriyahina 
andriyahina,FRIEND,egranovd
marochkind,FRIEND,buzinv 
buzinv,FRIEND,marochkind
terentyevv,FRIEND,belovat 
belovat,FRIEND,terentyevv
terentyevv,FRIEND,kozlovam 
kozlovam,FRIEND,terentyevv
umnovk,FRIEND,kerimovk 
kerimovk,FRIEND,umnovk
umnovk,FRIEND,baturinv 
baturinv,FRIEND,umnovk
umnovk,FRIEND,kuzovnikova 
kuzovnikova,FRIEND,umnovk
koroleva,FRIEND,sadykovr
sadykovr,FRIEND,koroleva
koroleva,FRIEND,popovd
popovd,FRIEND,koroleva
koroleva,FRIEND,baturinv
baturinv,FRIEND,koroleva
koroleva,FRIEND,kuzovnikova
kuzovnikova,FRIEND,koroleva
pivkina,FRIEND,terentyevv
terentyevv,FRIEND,pivkina
pyanzinv,FRIEND,korneva
korneva,FRIEND,pyanzinv
